year,domain,title,representation,realism,scale,url,author
2025,Infrastructure,GitHub - mayoT0/anonED: A training free method for anonymising sensitive regions in complex engineering diagrams. Â· GitHub,Raw Image,Anonymized,Small/Single-domain,https://github.com/mayoT0/anonED,Olumayowa Onabanjo and Carlos Francisco Moreno-Garcia and Gemma Martinez-Huerta and Marina Diaz Piloneta and Francisco Ortega-Fernandez
2026,Electronics,Dataset for Hierarchical Optimization Framework for Robust PCB Defect Detection via Adaptive YOLOv12 Architecture | IEEE DataPort,Raw Image,Real,Small/Single-domain,https://ieee-dataport.org/documents/dataset-hierarchical-optimization-framework-robust-pcb-defect-detection-adaptive-yolov12,Aditi Rao
2026,Electronics,DefectDet: An Annotated Dataset of Printed Circuit Boards with Surface Defects,Raw Image,Real,Small/Single-domain,https://data.mendeley.com/datasets/t9d9zs3bmb/1,Ashraful Azam and Masum Mushfiq Ishti and Khondakar Muntaseer Shams and Ahmed Jawad Rashid and Nadim Ahmed
2026,Electronics,MIXED PCB DEFECT DATASET,Raw Image,Real,Small/Single-domain,https://data.mendeley.com/datasets/fj4krvmrr5/4,Vinodkumar Ancha and Venkateswarlu Gonuguntla and Ramesh Vaddi
2011,Electronics,ISPD 2011 Routability-driven Placement Contest and Benchmark Suite,Symbolic format,Real,Large-Benchmark,https://www.ispd.cc/contests/11/ispd2011_contest.html,Natarajan Viswanathan and Charles J. Alpert and Cliff Sze and Zhuo Li and Gi-Joon Nam and Jarrod A. Roy
2017,Power,Africa - Electricity Transmission and Distribution Grid Map -...,Symbolic format,Real,Large-Benchmark,https://datacatalog.worldbank.org/search/dataset/0040465/africa-electricity-transmission-and-distribution-grid-map,World Bank Group
2018,Electronics,lsils/benchmarks: EPFL logic synthesis benchmarks Â· GitHub,Symbolic format,Synthetic,Large-Benchmark,https://doi.org/10.5281/zenodo.2572934,Luca Amarao and Pierre-Emmanuel Gaillardon and Giovanni De Micheli
2018,Electronics,cad-polito-it/I99T: ITC'99 benchmarks developed in the CAD Group at Politecnico di Torino Â· GitHub,Symbolic format,Real,Large-Benchmark,https://github.com/cad-polito-it/I99T,Fulvio Corno and Matteo Sonza Reorda and Giovanni Squillero
2018,Power,SDET Collection,Symbolic format,Real,Large-Benchmark,https://db.bettergrids.org/handle/1001/97,Renke Huang and Ruisheng Diao and PNNL SDET Team
2018,Power,Vietnam - Electricity Transmission Network,Symbolic format,Real,Large-Benchmark,https://datacatalog.worldbank.org/search/dataset/0042281/vietnam-electricity-transmission-network,World Bank Group
2019,Power,PanTaGruEl - a pan-European transmission grid and electricity generation model,Symbolic format,Real,Large-Benchmark,https://zenodo.org/records/2642175,Laurent Pagnier and Philippe Jacquod
2021,Electronics,Dataset for Quantum Circuits Mapping,Symbolic format,Anonymized,Large-Benchmark,https://data.mendeley.com/datasets/pmycgb2bt7/1,Roberto Schiattarella and Giovanni Acampora
2021,Electronics,symbench/spice-datasets: SPICE Netlist Datasets: https://symbench.github.io/spice-datasets/,Symbolic format,Real,Large-Benchmark,https://github.com/symbench/spice-datasets/tree/master,Brian Broll
2021,Electronics,ALIGN-public/CircuitsDatabase at master Â· ALIGN-analoglayout/ALIGN-public,Symbolic format,Real,Large-Benchmark,https://github.com/ALIGN-analoglayout/ALIGN-public/tree/master/CircuitsDatabase,Tonmoy Dhar and Kishor Kunal and Yaguang Li and Yishuang Lin and Meghna Madhusudan and Jitesh Poojary and Arvind K. Sharma and Steven M. Burns and Ramesh Harjani and Jiang Hu and Parijat Mukherjee and Soner Yaldiz and Sachin S. Sapatnekar
2021,Electronics,UMN-EDA/BeGAN-benchmarks,Symbolic format,Real,Large-Benchmark,https://github.com/UMN-EDA/BeGAN-benchmarks/tree/master,Vidya A. Chhabria and Kishor Kunal and Masoud Zabihi and Sachin S. Sapatnekar
2022,Electronics,shailja-thakur/VGen,Symbolic format,Real,Large-Benchmark,https://github.com/shailja-thakur/VGen/tree/main,Shailja Thakur and Baleegh Ahmad and Zhenxing Fan and Hammond Pearce and Benjamin Tan and Ramesh Karri and Brendan Dolan-Gavitt and Siddharth Garg
2022,Power,Simplified electricity transmission system from UK (2020),Symbolic format,Anonymized,Large-Benchmark,https://zenodo.org/records/6382172,Eduardo Martinez-CeseÃ±a and Wangwei Kong
2022,Power,case60nordic random topology power grid dataset,Symbolic format,Synthetic,Large-Benchmark,https://zenodo.org/records/7100302,Donon Balthazar
2022,Power,"An urban synthetic electricity distribution network from Spain, third version",Symbolic format,Synthetic,Small/Single-domain,https://zenodo.org/records/6382240,Carlos Mateo
